"part","term","statistic","Baseline DiD","DiD with Weather Controls","DiD w Weather Controls 2"
"estimates","(Intercept)","estimate","9.895***","0.050","13.231***"
"estimates","(Intercept)","std.error","(0.173)","(0.212)","(0.899)"
"estimates","post","estimate","-1.394***","-0.359***","-0.303**"
"estimates","post","std.error","(0.076)","(0.076)","(0.097)"
"estimates","treated","estimate","0.074","0.411**","0.437*"
"estimates","treated","std.error","(0.150)","(0.149)","(0.185)"
"estimates","congestion_hours","estimate","-0.237***","-0.214***","0.351***"
"estimates","congestion_hours","std.error","(0.060)","(0.060)","(0.086)"
"estimates","hour","estimate","-0.028***","-0.025***","0.005"
"estimates","hour","std.error","(0.004)","(0.004)","(0.006)"
"estimates","day","estimate","0.076***","0.044**","0.156***"
"estimates","day","std.error","(0.014)","(0.014)","(0.018)"
"estimates","month","estimate","-0.173***","-0.369***","-0.434***"
"estimates","month","std.error","(0.009)","(0.010)","(0.013)"
"estimates","dist","estimate","-0.115***","-0.112***","0.007"
"estimates","dist","std.error","(0.012)","(0.012)","(0.016)"
"estimates","site_type","estimate","13.928***","14.117***","14.854***"
"estimates","site_type","std.error","(0.079)","(0.079)","(0.115)"
"estimates","post × treated","estimate","-1.023***","-1.223***","-1.033***"
"estimates","post × treated","std.error","(0.153)","(0.152)","(0.175)"
"estimates","temp","estimate","","0.121***","-0.163***"
"estimates","temp","std.error","","(0.002)","(0.020)"
"estimates","humidity","estimate","","0.068***","-0.081***"
"estimates","humidity","std.error","","(0.002)","(0.011)"
"estimates","dew","estimate","","","0.303***"
"estimates","dew","std.error","","","(0.022)"
"estimates","precip","estimate","","","1.938"
"estimates","precip","std.error","","","(1.298)"
"estimates","windspeed","estimate","","","-0.330***"
"estimates","windspeed","std.error","","","(0.008)"
"estimates","winddir","estimate","","","0.001***"
"estimates","winddir","std.error","","","(0.000)"
"estimates","cloudcover","estimate","","","0.002+"
"estimates","cloudcover","std.error","","","(0.001)"
"estimates","solarradiation","estimate","","","0.001"
"estimates","solarradiation","std.error","","","(0.002)"
"estimates","uvindex","estimate","","","-0.096"
"estimates","uvindex","std.error","","","(0.176)"
"gof","Num.Obs.","","321895","321645","183909"
"gof","R2","","0.149","0.167","0.194"
"gof","R2 Adj.","","0.149","0.167","0.194"
"gof","AIC","","2695247.7","2686607.5","1531692.9"
"gof","BIC","","2695365.2","2686746.4","1531895.3"
"gof","Log.Lik.","","-1347612.829","-1343290.765","-765826.450"
"gof","RMSE","","15.92","15.76","15.57"
